ckt,Lock Method,key_bit,Attack Method,Key Found,key,Iteration,Time (s)
c432,rll,8k,SWEEP,-,8k,-,-
c432,rll,8k,SAT,-,8k,-,-
c432,rll,8k,APPSAT,-,8k,-,-
c432,rll,16k,SWEEP,-,16k,-,-
c432,rll,16k,SAT,-,16k,-,-
c432,rll,16k,APPSAT,-,16k,-,-
c432,rll,24k,SWEEP,-,24k,-,-
c432,rll,24k,SAT,-,24k,-,-
c432,rll,24k,APPSAT,-,24k,-,-
c432,rll,32k,SWEEP,-,32k,-,-
c432,rll,32k,SAT,-,32k,-,-
c432,rll,32k,APPSAT,-,32k,-,-
c432,sarlock,8k,SWEEP,-,8k,-,-
c432,sarlock,8k,SAT,-,8k,-,-
c432,sarlock,8k,APPSAT,-,8k,-,-
c432,sarlock,16k,SWEEP,-,16k,-,-
c432,sarlock,16k,SAT,-,16k,-,-
c432,sarlock,16k,APPSAT,-,16k,-,-
c432,sarlock,24k,SWEEP,-,24k,-,-
c432,sarlock,24k,SAT,-,24k,-,-
c432,sarlock,24k,APPSAT,-,24k,-,-
c432,sarlock,32k,SWEEP,-,32k,-,-
c432,sarlock,32k,SAT,-,32k,-,-
c432,sarlock,32k,APPSAT,-,32k,-,-
c432,antisat,8k,SWEEP,-,8k,-,-
c432,antisat,8k,SAT,-,8k,-,-
c432,antisat,8k,APPSAT,-,8k,-,-
c432,antisat,16k,SWEEP,-,16k,-,-
c432,antisat,16k,SAT,-,16k,-,-
c432,antisat,16k,APPSAT,-,16k,-,-
c432,antisat,24k,SWEEP,-,24k,-,-
c432,antisat,24k,SAT,-,24k,-,-
c432,antisat,24k,APPSAT,-,24k,-,-
c432,antisat,32k,SWEEP,-,32k,-,-
c432,antisat,32k,SAT,-,32k,-,-
c432,antisat,32k,APPSAT,-,32k,-,-
c432,libar,8k,SWEEP,-,8k,-,-
c432,libar,8k,SAT,-,8k,-,-
c432,libar,8k,APPSAT,-,8k,-,-
c432,libar,16k,SWEEP,-,16k,-,-
c432,libar,16k,SAT,-,16k,-,-
c432,libar,16k,APPSAT,-,16k,-,-
c432,libar,24k,SWEEP,-,24k,-,-
c432,libar,24k,SAT,-,24k,-,-
c432,libar,24k,APPSAT,-,24k,-,-
c432,libar,32k,SWEEP,-,32k,-,-
c432,libar,32k,SAT,-,32k,-,-
c432,libar,32k,APPSAT,-,32k,-,-
c432,cac,8k,SWEEP,-,8k,-,-
c432,cac,8k,SAT,-,8k,-,-
c432,cac,8k,APPSAT,-,8k,-,-
c432,cac,16k,SWEEP,-,16k,-,-
c432,cac,16k,SAT,-,16k,-,-
c432,cac,16k,APPSAT,-,16k,-,-
c432,cac,24k,SWEEP,-,24k,-,-
c432,cac,24k,SAT,-,24k,-,-
c432,cac,24k,APPSAT,-,24k,-,-
c432,cac,32k,SWEEP,-,32k,-,-
c432,cac,32k,SAT,-,32k,-,-
c432,cac,32k,APPSAT,-,32k,-,-
c1355,rll,8k,SWEEP,-,8k,-,-
c1355,rll,8k,SAT,-,8k,-,-
c1355,rll,8k,APPSAT,-,8k,-,-
c1355,rll,16k,SWEEP,-,16k,-,-
c1355,rll,16k,SAT,-,16k,-,-
c1355,rll,16k,APPSAT,-,16k,-,-
c1355,rll,24k,SWEEP,-,24k,-,-
