ckt,bit_no,defence,avg_time,avg_iteration,success_rate
c432,16k,cac+libar,0.8838024934132894,21.666666666666668,0.0
c432,24k,cac+libar,0.06872010231018066,3.3333333333333335,0.0
c432,32k,cac+libar,0.47283196449279785,17.333333333333332,0.0
c432,8k,antisat+libar,0.21668259302775064,10.333333333333334,0.3333333333333333
c432,24k,antisat+libar,0.0559847354888916,2.6666666666666665,0.0
c432,32k,antisat+libar,0.39914695421854657,14.333333333333334,0.0
c432,8k,sarlock+libar,0.38488205273946124,16.333333333333332,0.0
c432,24k,sarlock+libar,0.1384716033935547,8.0,0.0
c432,32k,sarlock+libar,0.23912851015726724,8.333333333333334,0.0
c1355,8k,antisat+libar,0.34724175930023193,4.0,0.0
c1355,24k,antisat+libar,0.32121896743774414,3.0,0.0
c1355,8k,sarlock+libar,0.06529426574707031,2.0,0.0
c1355,32k,sarlock+libar,0.13847827911376953,3.0,0.0
c1908,16k,cac+libar,6.719234784444173,2.0,0.0
c1908,24k,cac+libar,4.070431709289551,2.6666666666666665,0.0
c1908,8k,antisat+libar,9.61910343170166,1.0,0.0
c1908,16k,antisat+libar,1.9216194152832031,1.6666666666666667,0.0
c1908,32k,antisat+libar,1.5006133715311687,1.3333333333333333,0.0
c1908,8k,sarlock+libar,1.0291395982106526,1.0,0.0
c1908,16k,sarlock+libar,0.1880629857381185,2.0,0.0
c1908,24k,sarlock+libar,0.31505592664082843,1.6666666666666667,0.0
c1908,32k,sarlock+libar,1.2188692092895508,2.3333333333333335,0.0
c3540,8k,cac+libar,4.324133237202962,1.6666666666666667,0.0
c3540,16k,cac+libar,2.093786875406901,2.0,0.0
c3540,24k,cac+libar,6.063448190689087,7.333333333333333,0.0
c3540,8k,antisat+libar,1.0240733623504639,3.5,0.0
c3540,24k,antisat+libar,3.284097750981649,3.6666666666666665,0.0
c3540,32k,antisat+libar,1.8631877104441326,4.333333333333333,0.0
c3540,8k,sarlock+libar,2.1050798892974854,3.0,0.0
c3540,32k,sarlock+libar,18.738656679789226,2.6666666666666665,0.0
