ckt,Lock Method,key_bit,Attack Method,Key Found,key,Iteration,Time (s)
c432,libar,8k,SAT,Success,-,1,0.012851953506469727
c1908,libar,8k,SAT,Success,-,2,0.580596923828125
c432,libar,8k,APPSAT,Success,-,4,0.21451783180236816
c3540,libar,16k,SAT,Success,-,3,0.31923627853393555
c432,libar,32k,SAT,Success,-,30,2.59043550491333
c1908,libar,8k,APPSAT,Success,-,2,0.21744608879089355
c432,libar,32k,APPSAT,Success,-,19,3.8879013061523438
c1908,libar,24k,SAT,Success,-,17,3.4513967037200928
c1908,libar,16k,SAT,Success,-,7,1.2179949283599854
c1355,libar,32k,SAT,Success,-,21,13.571187734603882
c3540,libar,16k,APPSAT,Success,-,3,1.0064420700073242
c1908,libar,16k,APPSAT,Success,-,6,2.018352508544922
c432,libar,24k,SAT,Success,-,12,0.8945121765136719
c3540,libar,8k,SAT,Success,-,4,1.5116798877716064
c1908,libar,24k,APPSAT,Success,-,19,19.262235403060913
c432,libar,24k,APPSAT,Success,-,26,6.283840656280518
c3540,libar,8k,APPSAT,Success,-,1,0.10433793067932129
c3540,libar,32k,SAT,Success,-,2,0.42218494415283203
c1355,libar,16k,SAT,Success,-,13,2.8480756282806396
c1355,libar,24k,SAT,Success,-,22,9.5304696559906
c3540,libar,32k,APPSAT,Success,-,1,0.11764931678771973
c1355,libar,16k,APPSAT,Success,-,15,16.710113048553467
c1908,libar,32k,SAT,Success,-,1,0.03051280975341797
c432,libar,16k,SAT,Success,-,5,0.18846988677978516
c1908,libar,32k,APPSAT,Success,-,1,0.051080942153930664
c432,libar,16k,APPSAT,Success,-,9,0.5514755249023438
c1355,libar,24k,APPSAT,Success,-,17,22.492621660232544
c3540,libar,24k,SAT,Success,-,2,0.1442410945892334
c1355,libar,8k,SAT,Success,-,3,0.11908483505249023
c3540,libar,24k,SAT,Success,-,2,0.18071603775024414
c1355,libar,8k,APPSAT,Success,-,6,0.8536989688873291
c3540,libar,24k,APPSAT,Success,-,3,0.7705428600311279
c1355,libar,32k,SAT,Success,-,30,18.057461738586426
c1355,libar,32k,APPSAT,Success,-,16,20.170973777770996
